名称,类型
凉拌豆笋,0-凉菜
凉拌韭菜,0-凉菜
醋拌木耳,0-凉菜
凉拌海带丝,0-凉菜
凉拌黄瓜,0-凉菜
小葱拌豆腐,0-凉菜
凉拌莴笋,0-凉菜
莴笋丝炒韭菜,1-清炒素菜
清炒白菜苔,1-清炒素菜
清炒红菜苔,1-清炒素菜
清炒白萝卜丝,1-清炒素菜
清炒白菜,1-清炒素菜
清炒西兰花,1-清炒素菜
清炒菜心,1-清炒素菜
冬菇菜心,1-清炒素菜
清炒藕片,1-清炒素菜
清炒藕尖,1-清炒素菜
煎豆腐,1-清炒素菜
清炒莴笋片,1-清炒素菜
干煸四季豆,2-口味素菜
手撕包菜,2-口味素菜
酸辣土豆丝,2-口味素菜
青椒炒鸡蛋干,2-口味素菜
豆豉辣椒土豆丝,2-口味素菜
孜然土豆片,2-口味素菜
油淋青椒,2-口味素菜
油淋红椒,2-口味素菜
擂辣椒茄子,2-口味素菜
芹菜香干,2-口味素菜
蒸茄子,2-口味素菜
青椒炒茄子皮,2-口味素菜
剁辣椒炒白菜,2-口味素菜
口味藕丁,2-口味素菜
口味山药,2-口味素菜
酸菜炒青皮豆,2-口味素菜
胡萝卜炒大蒜叶,2-口味素菜
紫苏煎黄瓜,2-口味素菜
麻婆豆腐,2-口味素菜
红烧日本豆腐,2-口味素菜
鱼头汤闷豆腐,2-口味素菜
米豆腐,2-口味素菜
土豆片炒肉,3-小荤
萝卜干炒腊肉,3-小荤
辣椒萝卜炒肉,3-小荤
青椒炒蛋,3-小荤
青椒煎蛋,3-小荤
辣椒炒肉,3-小荤
酱辣椒炒肉,3-小荤
酱辣椒炒鸡,3-小荤
白辣椒炒肉,3-小荤
白辣椒炒腊肉,3-小荤
韭菜煎蛋,3-小荤
韭菜炒蛋,3-小荤
芹菜炒肉,3-小荤
芹菜炒腊肉,3-小荤
芹菜炒熏肉,3-小荤
芹菜炒烤肉,3-小荤
芹菜柴火干炒肉,3-小荤
茄子烧肉泥,3-小荤
鱼香肉丝,3-小荤
芥兰炒肉,3-小荤
茭瓜炒肉丝,3-小荤
茭瓜炒牛肉丝,3-小荤
洋葱炒肉,3-小荤
洋葱炒牛肉,3-小荤
秋葵炒蛋,3-小荤
笋丝炒肉,3-小荤
杏鲍菇炒肉,3-小荤
茶树菇炒五花肉,3-小荤
黄瓜炒火腿肠,3-小荤
榨菜肉丝,3-小荤
酸豆角肉泥,3-小荤
土豆红烧肉,4-大荤
干锅茶树菇,4-大荤
梅干菜蒸肉,4-大荤
胡萝卜烧牛腩,4-大荤
蒸蛋,5-蒸菜
清蒸鲫鱼,5-蒸菜
紫苏蒸土豆片,5-蒸菜
酱辣椒蒸鸡,5-蒸菜
蒸辣椒,5-蒸菜
清蒸金针菇,5-蒸菜
剁辣椒蒸金针菇,5-蒸菜
海带炖排骨,5-蒸菜
大姨妈汤,6-汤
土豆炖排骨,6-汤
本地土豆片汤,6-汤
白萝卜炖排骨,6-汤
白萝卜炖牛腩,6-汤
筒子骨炖湖藕,6-汤
山药排骨汤,6-汤
超级玛丽汤,6-汤
香菇炖鸡,6-汤
紫菜蛋汤,6-汤
鱼头豆腐汤,6-汤
土豆泥,8-点心小吃
炸薯条,8-点心小吃
炸白辣椒,8-点心小吃
韭菜饺子,8-点心小吃
藕夹,8-点心小吃
蒸红薯,8-点心小吃
蒸山药,8-点心小吃
银耳莲子羹,8-点心小吃
